case,video,frame,key,infer_ms,stability_iou_prev,iou,precision,recall,f1,pred_pixels,gt_pixels
candidate_raw,VID_20260319_160039_00_018,frame_000224,VID_20260319_160039_00_018/frame_000224,11.722199997166172,0.8894594810015599,0.9151842555667393,0.9184827594437535,0.9960912618253659,0.9557140550906617,1173077.0,1081679.0
candidate_raw,VID_20260319_160039_00_018,frame_000256,VID_20260319_160039_00_018/frame_000256,11.659600015264004,0.9387073219672338,0.9541429129917387,0.9611076828272984,0.9924623609594269,0.9765334015729404,1155421.0,1118918.0
candidate_raw,VID_20260319_160039_00_018,frame_000288,VID_20260319_160039_00_018/frame_000288,19.609400012996048,0.9348679825250386,0.9493974853108129,0.9499992877771882,0.9993332040948012,0.9740419719064535,1123244.0,1067793.0
candidate_raw,VID_20260319_160039_00_018,frame_000320,VID_20260319_160039_00_018/frame_000320,14.50329998624511,0.8748941034774887,0.9249857437422654,0.9258046074832751,0.9990446947115816,0.961031266594264,1081024.0,1001774.0
candidate_raw,VID_20260319_160039_00_018,frame_000352,VID_20260319_160039_00_018/frame_000352,11.672199994791299,0.8683456036471503,0.8816505638421047,0.8822325556035876,0.9992523257301403,0.9371033929295353,1027092.0,906812.0
candidate_raw,VID_20260319_160039_00_018,frame_000384,VID_20260319_160039_00_018/frame_000384,11.806200025603175,0.8542526215670829,0.8058668052005734,0.8188849140106567,0.980654594940878,0.892498608291399,992623.0,828879.0
candidate_raw,VID_20260319_160039_00_018,frame_000416,VID_20260319_160039_00_018/frame_000416,11.738300003344193,0.8191559272161499,0.7889693664338052,0.7935751901188202,0.9926974257474196,0.8820378719022615,920214.0,735631.0
candidate_raw,VID_20260319_160039_00_018,frame_000448,VID_20260319_160039_00_018/frame_000448,11.783900001319125,0.8924716844579306,0.7601579148162122,0.7681685589863798,0.9864671361341826,0.8637383139518872,938971.0,731183.0
candidate_raw,VID_20260319_160039_00_018,frame_000480,VID_20260319_160039_00_018/frame_000480,11.748399992939085,0.8488179994907075,0.8521695299904375,0.8638890213207079,0.9843301232139823,0.9201852381135296,818031.0,717938.0
candidate_raw,VID_20260319_160039_00_018,frame_000512,VID_20260319_160039_00_018/frame_000512,11.809499992523342,0.8488991286153995,0.9311992432291925,0.9778520996958023,0.9512625446900305,0.9643740763610881,710722.0,730588.0
candidate_raw,VID_20260319_160039_00_018,frame_000544,VID_20260319_160039_00_018/frame_000544,11.7344000027515,0.7861270782317309,0.9445271181955044,0.9673857337950689,0.9755935433950652,0.9714723022963168,675134.0,669454.0
candidate_raw,VID_20260319_160039_00_018,frame_000576,VID_20260319_160039_00_018/frame_000576,11.704500007908791,0.7699644393414612,0.9309910332759492,0.9443296827945393,0.9850547531317858,0.9642624095426398,625935.0,600057.0
candidate_raw,VID_20260319_160039_00_018,frame_000608,VID_20260319_160039_00_018/frame_000608,11.634199996478856,0.7874890207408504,0.8698891167173178,0.8716671227452772,0.9976606161135783,0.9304178616157206,654127.0,571518.0
candidate_raw,VID_20260319_160039_00_018,frame_000640,VID_20260319_160039_00_018/frame_000640,11.699599999701604,0.5889342125325417,0.5784043120755674,0.5797713345202096,0.9959400509653177,0.7328975315772907,1034087.0,601978.0
candidate_raw,VID_20260319_160039_00_018,frame_000672,VID_20260319_160039_00_018/frame_000672,11.617599986493587,0.642511793442678,0.9485753728813792,0.9507842932282841,0.9975567729198657,0.9736091157497394,727024.0,692936.0
candidate_raw,VID_20260319_160039_00_018,frame_000704,VID_20260319_160039_00_018/frame_000704,11.704999982612208,0.6014776438334073,0.9294764912152911,0.9475896750418294,0.9798490629424328,0.9634494075953788,861834.0,833460.0
candidate_raw,VID_20260319_160039_00_018,frame_000736,VID_20260319_160039_00_018/frame_000736,11.692200001562014,0.7404569547137134,0.9520899092230943,0.9552804086190496,0.9965043412608532,0.975457026569041,967160.0,927150.0
candidate_raw,VID_20260319_160039_00_018,frame_000768,VID_20260319_160039_00_018/frame_000768,11.719899979652837,0.760667675954693,0.9715561761759636,0.9728716447324115,0.998610197764856,0.9855729072456834,1128524.0,1099437.0
candidate_raw,VID_20260319_160039_00_018,frame_000800,VID_20260319_160039_00_018/frame_000800,11.810600000899285,0.7727755671413934,0.9403128439643771,0.9421392834472073,0.9979425780983721,0.9692383853349791,1025549.0,968202.0
candidate_raw,VID_20260319_160039_00_018,frame_000832,VID_20260319_160039_00_018/frame_000832,11.735399981262162,0.708881257651494,0.868778894351421,0.8748774420700337,0.9920402534327344,0.9297824338421156,907734.0,800528.0
