mask_case,planner,video,frame,key,runtime_ms,planner_path_source,has_path,inside_gt_ratio,mean_gt_clearance_px,mean_center_error_px,forward_span_px,heading_deg,path_points
oracle_gt,bev_dt_nearfield,IMG_1878,frame_001456,IMG_1878/frame_001456,195.0242999882903,dt_ridge,1.0,1.0,66.53671264648438,53.287234042553195,297.0,-50.624628041445916,47.0
oracle_gt,bev_graph,IMG_1878,frame_001456,IMG_1878/frame_001456,29.19919998385012,fallback_centerline,1.0,0.5142857432365417,23.940202713012695,95.18571428571428,278.0,-18.321040862628898,35.0
oracle_gt,img_dt,IMG_1878,frame_001456,IMG_1878/frame_001456,46.159999998053536,img_dt,1.0,1.0,89.96808624267578,93.05,295.0,-5.194428907734806,40.0
oracle_gt,img_midpoint,IMG_1878,frame_001456,IMG_1878/frame_001456,2.2499999904539436,img_midpoint,1.0,1.0,57.10900115966797,31.4,288.0,-63.24428137528977,20.0
baseline_raw,bev_dt_full,IMG_1878,frame_001456,IMG_1878/frame_001456,117.00710002332926,dt_ridge,1.0,1.0,90.67901611328125,98.81818181818181,161.0,-48.12213046211571,22.0
baseline_raw,bev_dt_nearfield,IMG_1878,frame_001456,IMG_1878/frame_001456,117.55170000833459,dt_ridge,1.0,1.0,90.67901611328125,98.81818181818181,161.0,-48.12213046211571,22.0
baseline_raw,bev_graph,IMG_1878,frame_001456,IMG_1878/frame_001456,20.855999988270923,fallback_centerline,1.0,1.0,52.618221282958984,116.875,154.0,-32.08218715606604,16.0
baseline_raw,img_dt,IMG_1878,frame_001456,IMG_1878/frame_001456,28.65150000434369,img_dt,0.0,0.0,0.0,999.0,0.0,0.0,0.0
baseline_raw,img_midpoint,IMG_1878,frame_001456,IMG_1878/frame_001456,1.675199979217723,img_midpoint,0.0,0.0,0.0,999.0,0.0,0.0,0.0
candidate_confhold,bev_dt_full,IMG_1878,frame_001456,IMG_1878/frame_001456,201.44379997509532,dt_ridge,1.0,1.0,66.94102478027344,52.670212765957444,298.0,-50.31454566994475,47.0
candidate_confhold,bev_dt_nearfield,IMG_1878,frame_001456,IMG_1878/frame_001456,191.68280001031235,dt_ridge,1.0,1.0,66.94102478027344,52.670212765957444,298.0,-50.31454566994475,47.0
candidate_confhold,bev_graph,IMG_1878,frame_001456,IMG_1878/frame_001456,30.676900001708418,fallback_skeleton,1.0,1.0,72.8412094116211,57.01136363636363,273.0,-52.980113745168524,44.0
candidate_confhold,img_dt,IMG_1878,frame_001456,IMG_1878/frame_001456,45.909699983894825,img_dt,1.0,1.0,87.94564056396484,92.55,295.0,-5.194428907734806,40.0
candidate_confhold,img_midpoint,IMG_1878,frame_001456,IMG_1878/frame_001456,1.8483000167179853,img_midpoint,1.0,1.0,56.45698165893555,32.4,288.0,-63.24428137528977,20.0
oracle_gt,bev_dt_full,IMG_1878,frame_001829,IMG_1878/frame_001829,280.15889998641796,dt_ridge,1.0,0.790123462677002,45.432159423828125,37.50617283950617,314.0,-15.945395900922854,81.0
