mask_case,planner,video,runtime_ms_mean,runtime_ms_p10,runtime_ms_p90,has_path_mean,has_path_p10,has_path_p90,inside_gt_ratio_mean,inside_gt_ratio_p10,inside_gt_ratio_p90,mean_gt_clearance_px_mean,mean_gt_clearance_px_p10,mean_gt_clearance_px_p90,mean_center_error_px_mean,mean_center_error_px_p10,mean_center_error_px_p90,forward_span_px_mean,forward_span_px_p10,forward_span_px_p90,heading_deg_mean,heading_deg_p10,heading_deg_p90,path_points_mean,path_points_p10,path_points_p90,count
candidate_confhold,bev_graph,IMG_1924,350.0113125082862,61.16986002307385,996.3155100034783,1.0,1.0,1.0,0.9453533738851547,0.7990068316459655,1.0,118.11067152023315,73.1021282196045,156.4563247680664,97.69046101141404,28.653159041394336,192.99580439814815,387.875,322.6,440.5,-20.40217283603072,-46.52011173979582,-3.2234486428219222,97.0,63.7,150.29999999999998,8
candidate_confhold,img_dt,IMG_1878,67.86305000059656,35.893910002778284,112.67432000313418,1.0,1.0,1.0,0.986825093626976,0.9592156887054444,1.0,126.01029109954834,87.31877670288085,164.61238708496091,55.673393829982146,28.810815217391305,90.46944444444445,350.875,295.0,409.79999999999995,4.735422380695331,-12.188642343640186,16.776590231962857,47.375,40.0,55.199999999999996,8
candidate_confhold,img_dt,IMG_1921,113.58288750125212,89.81041000806727,137.05303000169806,1.0,1.0,1.0,1.0,1.0,1.0,174.98772048950195,161.7894073486328,193.56194000244142,52.37074492814328,19.894927536231886,100.84409090909091,464.625,424.4,515.0,4.474781946701225,-9.650914601959787,20.061364484085857,62.375,57.1,69.0,8
candidate_confhold,img_dt,IMG_1922,126.9835375060211,71.29730999586172,180.3602000029059,1.0,1.0,1.0,0.9938844069838524,0.9786559164524078,1.0,180.40842247009277,154.69023590087892,220.9291244506836,64.54846168646597,7.303825136612022,130.0221397849462,457.125,419.7,496.29999999999995,1.8685756511424383,-26.05435663268957,28.94588656120939,61.375,56.4,66.6,8
candidate_confhold,img_dt,IMG_1924,123.7791500025196,65.82173001079354,193.98930999741424,1.0,1.0,1.0,0.9960317462682724,0.9904761910438538,1.0,184.4867401123047,161.2815368652344,206.4614501953125,68.84744791313702,15.293394777265744,138.52436974789913,456.0,436.8,471.4,-3.699196442861737,-31.00542885152215,15.345442567266222,61.25,58.7,63.3,8
candidate_confhold,img_midpoint,IMG_1878,2.0762125022883993,1.8696500163059682,2.323459991021082,1.0,1.0,1.0,0.9777668043971062,0.9118577301502228,1.0,116.23199415206909,73.86004219055175,157.5047424316406,20.927266279915735,4.565769230769231,31.006363636363638,342.5,288.0,409.79999999999995,-13.490613005002356,-38.61345687645057,10.367112692768648,23.625,20.0,28.099999999999998,8
candidate_confhold,img_midpoint,IMG_1921,2.1754750014224555,2.0989199983887374,2.2661899973172694,1.0,1.0,1.0,0.9890692681074142,0.9616450428962707,1.0,166.7862033843994,152.0772964477539,180.66645355224608,8.605051507856096,4.035595105672971,13.361285266457678,454.25,415.0,504.5,4.009604052886422,-12.464537499733012,18.108979242296805,31.0,28.4,34.3,8
candidate_confhold,img_midpoint,IMG_1922,2.2350750004989095,1.9555000035325065,2.4874600028852,1.0,1.0,1.0,0.9833147972822189,0.9341490626335144,1.0,169.65945434570312,144.23160552978516,207.0890884399414,12.805090664822512,3.778421052631579,22.49838709677419,444.625,401.2,485.79999999999995,-2.7938272875234342,-35.72068152493705,23.152702907025606,30.375,27.5,33.1,8
candidate_confhold,img_midpoint,IMG_1924,2.253399998153327,1.9227999961003661,2.638739996473305,1.0,1.0,1.0,0.9879032149910927,0.9677419066429138,1.0,169.22182369232178,128.01483230590821,192.64389038085938,14.92226310483871,5.290322580645161,24.285383064516125,444.5,426.7,458.5,-21.94512270118662,-45.498384916046824,0.9896946801111124,30.375,29.2,31.3,8
oracle_gt,bev_dt_full,IMG_1878,515.5165500036674,188.86971001629718,844.3347500025991,1.0,1.0,1.0,0.9470447897911072,0.8831908881664277,1.0,106.73039531707764,60.2053466796875,152.48609466552733,42.33549606113354,13.72,66.8827485380117,335.0,304.7,372.2,-30.033134485434008,-59.64994837253727,-11.583901690662744,62.125,46.4,81.0,8
oracle_gt,bev_dt_full,IMG_1921,1210.2429874976224,976.9066099921474,1431.5414699958637,1.0,1.0,1.0,1.0,1.0,1.0,145.48309135437012,125.02780303955078,162.16673278808594,57.91743827160494,23.835185185185185,102.93148148148147,398.0,384.8,409.0,-22.4279096776627,-42.288016532555055,-10.07426292281687,81.0,81.0,81.0,8
oracle_gt,bev_dt_full,IMG_1922,1131.8449249993137,563.951629991061,1759.5449099928373,1.0,1.0,1.0,1.0,1.0,1.0,142.7531213760376,111.53628463745117,200.5311508178711,85.73225308641975,26.357407407407408,171.04197530864198,382.75,350.8,409.0,-32.653194609362934,-62.14357718686203,-10.974382696753661,81.0,81.0,81.0,8
oracle_gt,bev_dt_full,IMG_1924,721.0256250036764,193.97428000811487,1138.8441800081637,1.0,1.0,1.0,0.9742063507437706,0.9380952417850494,1.0,135.43894481658936,105.357918548584,156.92460021972656,90.77579365079366,21.173456790123456,178.59938271604938,382.0,342.90000000000003,409.0,-24.731212893572568,-49.06311729149853,-10.974382696753661,78.75,75.6,81.0,8
oracle_gt,bev_dt_nearfield,IMG_1878,492.31213749590097,193.4102399914991,775.8580599969716,1.0,1.0,1.0,0.9470447897911072,0.8831908881664277,1.0,89.60207653045654,60.2053466796875,111.37812957763671,57.447621885588134,13.72,103.1518505167027,339.5,304.7,385.6,-21.883511933243703,-34.284236198217656,-11.583901690662744,61.125,46.4,75.4,8
oracle_gt,bev_dt_nearfield,IMG_1921,1719.9472124993918,1255.421530007152,2084.9315300001763,1.0,1.0,1.0,1.0,1.0,1.0,138.9009246826172,118.81936187744141,164.42340240478515,68.64354800428501,24.09178082191781,107.86071202531645,393.75,392.4,395.3,-19.81923599331031,-32.35950174342308,-11.040940180323732,75.75,73.0,79.3,8
oracle_gt,bev_dt_nearfield,IMG_1922,1668.395837488788,850.1784899854101,3163.1754199857824,1.0,1.0,1.0,1.0,1.0,1.0,128.9217882156372,111.53628463745117,153.1286148071289,91.74615127684763,36.463150684931506,183.05864197530863,385.625,363.4,394.6,-25.650136779352238,-48.42999273462856,-11.020972935252711,77.5,73.0,81.0,8
oracle_gt,bev_dt_nearfield,IMG_1924,2154.1159249973134,623.8480099971639,3967.8115499991686,1.0,1.0,1.0,0.9742063507437706,0.9380952417850494,1.0,137.0756435394287,101.68948211669922,163.95315704345703,101.06991703359425,31.86457191780822,197.82671232876712,370.875,338.7,394.2,-22.925781945681663,-49.06311729149853,-11.040940180323732,72.625,70.0,75.1,8
oracle_gt,bev_graph,IMG_1878,400.0768374899053,39.468689990462735,893.2939599937524,1.0,1.0,1.0,0.8852110430598259,0.6582857429981231,1.0,101.78125643730164,33.022243690490725,156.91327896118162,51.63448118337921,17.776504914004914,81.80637218045112,320.75,280.1,355.5,-25.553653342005703,-43.813208362612194,-7.714194250546969,59.75,41.3,83.19999999999999,8
oracle_gt,bev_graph,IMG_1921,591.4971124984731,59.346569995977916,1289.7587299987208,1.0,1.0,1.0,0.9929577484726906,0.9830985963344574,1.0,126.03311252593994,100.22290420532227,152.77769622802734,64.3758466778981,24.22235294117647,105.68212752525253,401.0,387.1,414.0,-18.235441182748062,-34.56502826691147,-7.511084068127924,81.875,71.7,89.2,8
oracle_gt,bev_graph,IMG_1922,620.584800002689,73.42827999673318,1244.8392300168052,1.0,1.0,1.0,0.9686220288276672,0.9030712366104126,1.0,125.11858940124512,84.23153457641602,165.5329620361328,85.5928532642647,25.89622549019608,142.90505707570927,399.5,342.0,449.0,-34.53543123822507,-62.6521064203307,-12.68827452182924,104.875,74.0,172.1,8
oracle_gt,bev_graph,IMG_1924,558.7072875023296,80.09172999882139,1038.9376999926753,1.0,1.0,1.0,0.9449825137853622,0.7981167674064636,1.0,124.94748020172119,73.09109725952149,156.52015075683593,92.76041160082575,20.77912827781715,194.1420634920635,383.625,321.2,421.5,-20.806032926441112,-48.70296241504234,-2.8519566746780463,90.25,63.0,112.59999999999998,8
